domain,series_id,t,y,p_mm_day,t_c
hydro,10023000,10/1/1986,0.44799510502453904,5.99,-1.515
hydro,10023000,10/2/1986,0.44799510502453904,12.24,0.024999999999999994
hydro,10023000,10/3/1986,0.43140269372733386,0,2.555
hydro,10023000,10/4/1986,0.43140269372733386,0,1.21
hydro,10023000,10/5/1986,0.43140269372733386,0,5.395
hydro,10023000,10/6/1986,0.4148102824301287,0,4.449999999999999
hydro,10023000,10/7/1986,0.4148102824301287,0,6.245
hydro,10023000,10/8/1986,0.4148102824301287,0,6.215000000000001
hydro,10023000,10/9/1986,0.4148102824301287,0,3.95
hydro,10023000,10/10/1986,0.4148102824301287,0,5.675
hydro,10023000,10/11/1986,0.4148102824301287,0,4.61
hydro,10023000,10/12/1986,0.39821787113292356,0,-3.565
hydro,10023000,10/13/1986,0.38162545983571844,0,2.7750000000000004
hydro,10023000,10/14/1986,0.39821787113292356,0,3.6750000000000003
hydro,10023000,10/15/1986,0.39821787113292356,0,3.3950000000000005
hydro,10023000,10/16/1986,0.4148102824301287,0,4.17
hydro,10023000,10/17/1986,0.4148102824301287,0,4.41
hydro,10023000,10/18/1986,0.4148102824301287,5.74,8.655000000000001
hydro,10023000,10/19/1986,0.4148102824301287,2.06,3.465
hydro,10023000,10/20/1986,0.44799510502453904,10.44,2.81
hydro,10023000,10/21/1986,0.43140269372733386,0,2.8449999999999998
hydro,10023000,10/22/1986,0.4148102824301287,0,6.92
hydro,10023000,10/23/1986,0.39821787113292356,0,7.630000000000001
hydro,10023000,10/24/1986,0.39821787113292356,0,2.3600000000000003
hydro,10023000,10/25/1986,0.39821787113292356,0,4.195
hydro,10023000,10/26/1986,0.4148102824301287,0,4.515000000000001
hydro,10023000,10/27/1986,0.43140269372733386,0,8.32
hydro,10023000,10/28/1986,0.43140269372733386,0,5.06
hydro,10023000,10/29/1986,0.44799510502453904,0,5.77
hydro,10023000,10/30/1986,0.44799510502453904,5.31,5.715
hydro,10023000,10/31/1986,0.44799510502453904,0,-1.215
hydro,10023000,11/1/1986,0.43140269372733386,0.42,2.085
hydro,10023000,11/2/1986,0.43140269372733386,0,-0.6
hydro,10023000,11/3/1986,0.43140269372733386,0,1.1999999999999997
hydro,10023000,11/4/1986,0.43140269372733386,0,0.5899999999999999
hydro,10023000,11/5/1986,0.43140269372733386,0,4.6450000000000005
hydro,10023000,11/6/1986,0.4148102824301287,5.23,0.7949999999999999
hydro,10023000,11/7/1986,0.4148102824301287,7.68,-3.895
hydro,10023000,11/8/1986,0.4148102824301287,4.88,-7.13
hydro,10023000,11/9/1986,0.4148102824301287,3.58,-4.825
hydro,10023000,11/10/1986,0.4148102824301287,0,-7.73
hydro,10023000,11/11/1986,0.4148102824301287,0,-4.74
hydro,10023000,11/12/1986,0.43140269372733386,0,0.3899999999999999
hydro,10023000,11/13/1986,0.43140269372733386,0,-1.34
hydro,10023000,11/14/1986,0.44799510502453904,0,0.5550000000000006
hydro,10023000,11/15/1986,0.44799510502453904,0,-0.565
hydro,10023000,11/16/1986,0.44799510502453904,0,2.765
hydro,10023000,11/17/1986,0.44799510502453904,0.17,3.795
hydro,10023000,11/18/1986,0.44799510502453904,0,-1.31
hydro,10023000,11/19/1986,0.44799510502453904,3.07,3.54
hydro,10023000,11/20/1986,0.43140269372733386,0,-0.665
hydro,10023000,11/21/1986,0.43140269372733386,0,-0.63
hydro,10023000,11/22/1986,0.43140269372733386,0.03,-4.815
hydro,10023000,11/23/1986,0.43140269372733386,0,-3.345
hydro,10023000,11/24/1986,0.43140269372733386,0,-0.84
hydro,10023000,11/25/1986,0.43140269372733386,0,-0.9
hydro,10023000,11/26/1986,0.4148102824301287,0,-4.235
hydro,10023000,11/27/1986,0.4148102824301287,0,0.3700000000000001
hydro,10023000,11/28/1986,0.44799510502453904,0,-1.005
hydro,10023000,11/29/1986,0.44799510502453904,0.16,3.5249999999999995
hydro,10023000,11/30/1986,0.39821787113292356,0,-5.835
hydro,10023000,12/1/1986,0.39821787113292356,0,-4.94
hydro,10023000,12/2/1986,0.39821787113292356,0,-1.345
hydro,10023000,12/3/1986,0.38162545983571844,0,-4.295
hydro,10023000,12/4/1986,0.38162545983571844,0,-1.595
hydro,10023000,12/5/1986,0.39821787113292356,0,2.9799999999999995
hydro,10023000,12/6/1986,0.39821787113292356,0,-0.655
hydro,10023000,12/7/1986,0.39821787113292356,1.26,-0.085
hydro,10023000,12/8/1986,0.38162545983571844,0,-5.285
hydro,10023000,12/9/1986,0.38162545983571844,1.25,-9.46
hydro,10023000,12/10/1986,0.38162545983571844,0,-11.135
hydro,10023000,12/11/1986,0.38162545983571844,0,-8.145
hydro,10023000,12/12/1986,0.38162545983571844,0,-6.845
hydro,10023000,12/13/1986,0.39821787113292356,0,-7.47
hydro,10023000,12/14/1986,0.4148102824301287,0,-3.775
hydro,10023000,12/15/1986,0.4148102824301287,0,-5.825
hydro,10023000,12/16/1986,0.4148102824301287,0,-5.315
hydro,10023000,12/17/1986,0.4148102824301287,0,-7.585
