domain,series_id,t,y,p_mm_day,t_c
hydro,10023000,1986-10-01,0.447995105024539,5.99,-1.515
hydro,10023000,1986-10-02,0.447995105024539,12.24,0.0249999999999999
hydro,10023000,1986-10-03,0.4314026937273338,0.0,2.555
hydro,10023000,1986-10-04,0.4314026937273338,0.0,1.21
hydro,10023000,1986-10-05,0.4314026937273338,0.0,5.395
hydro,10023000,1986-10-06,0.4148102824301287,0.0,4.449999999999999
hydro,10023000,1986-10-07,0.4148102824301287,0.0,6.245
hydro,10023000,1986-10-08,0.4148102824301287,0.0,6.215000000000001
hydro,10023000,1986-10-09,0.4148102824301287,0.0,3.95
hydro,10023000,1986-10-10,0.4148102824301287,0.0,5.675
hydro,10023000,1986-10-11,0.4148102824301287,0.0,4.61
hydro,10023000,1986-10-12,0.3982178711329235,0.0,-3.565
hydro,10023000,1986-10-13,0.3816254598357184,0.0,2.7750000000000004
hydro,10023000,1986-10-14,0.3982178711329235,0.0,3.675
hydro,10023000,1986-10-15,0.3982178711329235,0.0,3.3950000000000005
hydro,10023000,1986-10-16,0.4148102824301287,0.0,4.17
hydro,10023000,1986-10-17,0.4148102824301287,0.0,4.41
hydro,10023000,1986-10-18,0.4148102824301287,5.74,8.655000000000001
hydro,10023000,1986-10-19,0.4148102824301287,2.06,3.465
hydro,10023000,1986-10-20,0.447995105024539,10.44,2.81
hydro,10023000,1986-10-21,0.4314026937273338,0.0,2.845
hydro,10023000,1986-10-22,0.4148102824301287,0.0,6.92
hydro,10023000,1986-10-23,0.3982178711329235,0.0,7.630000000000001
hydro,10023000,1986-10-24,0.3982178711329235,0.0,2.3600000000000003
hydro,10023000,1986-10-25,0.3982178711329235,0.0,4.195
hydro,10023000,1986-10-26,0.4148102824301287,0.0,4.515000000000001
hydro,10023000,1986-10-27,0.4314026937273338,0.0,8.32
hydro,10023000,1986-10-28,0.4314026937273338,0.0,5.06
hydro,10023000,1986-10-29,0.447995105024539,0.0,5.77
hydro,10023000,1986-10-30,0.447995105024539,5.31,5.715
hydro,10023000,1986-10-31,0.447995105024539,0.0,-1.215
hydro,10023000,1986-11-01,0.4314026937273338,0.42,2.085
hydro,10023000,1986-11-02,0.4314026937273338,0.0,-0.6
hydro,10023000,1986-11-03,0.4314026937273338,0.0,1.1999999999999995
hydro,10023000,1986-11-04,0.4314026937273338,0.0,0.5899999999999999
hydro,10023000,1986-11-05,0.4314026937273338,0.0,4.6450000000000005
hydro,10023000,1986-11-06,0.4148102824301287,5.23,0.7949999999999999
hydro,10023000,1986-11-07,0.4148102824301287,7.68,-3.895
hydro,10023000,1986-11-08,0.4148102824301287,4.88,-7.13
hydro,10023000,1986-11-09,0.4148102824301287,3.58,-4.825
hydro,10023000,1986-11-10,0.4148102824301287,0.0,-7.73
hydro,10023000,1986-11-11,0.4148102824301287,0.0,-4.74
hydro,10023000,1986-11-12,0.4314026937273338,0.0,0.3899999999999999
hydro,10023000,1986-11-13,0.4314026937273338,0.0,-1.34
hydro,10023000,1986-11-14,0.447995105024539,0.0,0.5550000000000006
hydro,10023000,1986-11-15,0.447995105024539,0.0,-0.565
hydro,10023000,1986-11-16,0.447995105024539,0.0,2.765
hydro,10023000,1986-11-17,0.447995105024539,0.17,3.795
hydro,10023000,1986-11-18,0.447995105024539,0.0,-1.31
hydro,10023000,1986-11-19,0.447995105024539,3.07,3.54
hydro,10023000,1986-11-20,0.4314026937273338,0.0,-0.665
hydro,10023000,1986-11-21,0.4314026937273338,0.0,-0.63
hydro,10023000,1986-11-22,0.4314026937273338,0.03,-4.815
hydro,10023000,1986-11-23,0.4314026937273338,0.0,-3.345
hydro,10023000,1986-11-24,0.4314026937273338,0.0,-0.84
hydro,10023000,1986-11-25,0.4314026937273338,0.0,-0.9
